Species,Value,Units,Notes
C5b9_7 host,0,micromolarity,
C5b9_8 host,0,micromolarity,
C5b9_9 host,0,micromolarity,
C5b9_10 host,0,micromolarity,
C5b9_11 host,0,micromolarity,
C5b9_12 host,0,micromolarity,
C5b9_13 host,0,micromolarity,
C5b9_14 host,0,micromolarity,
C5b9_15 host,0,micromolarity,
C5b9_16 host,0,micromolarity,
C5b9_17 host,0,micromolarity,
MAC host,0,micromolarity,
CD59C5b9_1 host,0,micromolarity,
VnC5b8 fluid,0,micromolarity,
VnC5b9_1 fluid,0,micromolarity,
CnC5b8 fluid,0,micromolarity,
CnC5b9_1 fluid,0,micromolarity,
C5b9_1 fluid,0,micromolarity,
C5drug,0,micromolarity,
C5drug C5,0,micromolarity,
Ecu,0,micromolarity,
Ecu C5,0,micromolarity,
