Reaction,ReactionRate
C3 + [C3bBb host] -> C3a + nhC3b + [C3bBb host]                                                 ,[k_C3_cat_C3bBb] * [C3] * [C3bBb host] / ([K_C3_m_C3bBb] + [C3])
nhC3b + [Surface host] -> [C3b host]                                                            ,[k_p_hC3b] * [nhC3b] * [Surface host] * 15.6
nhC3b + [C3bBb host] -> [C3bBbC3b host]                                                         ,[k_p_C3bBbC3b] * [nhC3b] * [C3bBb host]
[hC5b7 fluid] + [Surface host] + [Surface host] + [Surface host] + [Surface host] -> [C5b7 host],[k_p_C5b7 surface] * [hC5b7 fluid] * [Surface host] * 1.4
[C3b host] + CR1 <-> [C3bCR1 host]                                                              ,[k_p_C3bCR1] * [C3b host] * CR1 - [k_m_C3bCR1] * [C3bCR1 host]
[C3b host] + H <-> [C3bH host]                                                                  ,[k_p_C3bH_surf] * [C3b host] * H - [k_m_C3bH] * [C3bH host]
[C3b host] + B <-> [C3bB host]                                                                  ,[k_p_C3bB] * [C3b host] * B - [k_m_C3bB] * [C3bB host]
[C3bBbH host] -> H + Bb + [C3b host]                                                            ,[k_m_C3bBbH decay] * [C3bBbH host]
[C3bBb host] -> Bb + [C3b host]                                                                 ,[k_m_C3bBb] * [C3bBb host]
[C3bBbCR1 host] -> CR1 + Bb + [C3b host]                                                        ,[k_m_C3bBbCR1 decay] * [C3bBbCR1 host]
[C3bBbDAF host] -> DAF + Bb + [C3b host]                                                        ,[k_m_C3bBbDAF decay] * [C3bBbDAF host]
[C3bBbC3b host] -> Bb + [C3b host] + [C3b fluid]                                                ,[k_m_C3bBbC3b] * [C3bBbC3b host]
[C3bB host] + D -> [C3bBb host] + Ba + D                                                        ,[k_D_cat_C3bB] * D * [C3bB host] / ([K_D_m_C3(H2O)B] + [C3bB fluid] + [C3(H2O)B fluid] + [C3bB host]+ [C3bBP host])
[C3bBb host] + H -> [C3bBbH host]                                                               ,[k_p_C3bH_surf] * [C3bBb host] * H
[C3bBb host] + CR1 -> [C3bBbCR1 host]                                                           ,[k_p_C3bCR1] * [C3bBb host] * CR1
[C3bBb host] + DAF -> [C3bBbDAF host]                                                           ,[k_p_C3bBbDAF] * [C3bBb host] * DAF
[C3bCR1 host] + I -> CR1 + [iC3b host] + I                                                      ,[k_FI_cat_C3bH] * I * [C3bCR1 host] / ([K_FI_m_C3bH] + [C3bH fluid] + [C3bCR1 fluid] + [iC3bCR1 fluid] + [C3bH host] + [C3bCR1 host] + [iC3bCR1 host])
[iC3b host] + CR1 <-> [iC3bCR1 host]                                                            ,[k_p_iC3bCR1] * [iC3b host] * CR1 - [k_m_iC3bCR1] * [iC3bCR1 host]
[C3bH host] + I -> H + [iC3b host] + I                                                          ,[k_FI_cat_C3bH] * I * [C3bH host] / ([K_FI_m_C3bH] + [C3bH fluid] + [C3bCR1 fluid] + [iC3bCR1 fluid] + [C3bH host] + [C3bCR1 host] + [iC3bCR1 host])
[iC3bCR1 host] + I -> CR1 + [C3dg host] + I                                                     ,[k_FI_cat_C3bH] * I * [iC3bCR1 host] / ([K_FI_m_C3bH] + [C3bH fluid] + [C3bCR1 fluid] + [iC3bCR1 fluid] + [C3bH host] + [C3bCR1 host] + [iC3bCR1 host])
[C3bH fluid] + I -> H + [iC3b fluid] + I                                                        ,[k_FI_cat_C3bH] * I * [C3bH fluid] / ([K_FI_m_C3bH] + [C3bH fluid] + [C3bCR1 fluid] + [iC3bCR1 fluid] + [C3bH host] + [C3bCR1 host] + [iC3bCR1 host])
[iC3b fluid] + CR1 <-> [iC3bCR1 fluid]                                                          ,[k_p_iC3bCR1] * [iC3b fluid] * CR1 - [k_m_iC3bCR1] * [iC3bCR1 fluid]
[C3bCR1 fluid] + I -> CR1 + [iC3b fluid] + I                                                    ,[k_FI_cat_C3bH] * I * [C3bCR1 fluid] / ([K_FI_m_C3bH] + [C3bH fluid] + [C3bCR1 fluid] + [iC3bCR1 fluid] + [C3bH host] + [C3bCR1 host] + [iC3bCR1 host])
[iC3bCR1 fluid] + I -> CR1 + [C3dg fluid] + I                                                   ,[k_FI_cat_C3bH] * I * [iC3bCR1 fluid] / ([K_FI_m_C3bH] + [C3bH fluid] + [C3bCR1 fluid] + [iC3bCR1 fluid] + [C3bH host] + [C3bCR1 host] + [iC3bCR1 host])
[C3bBbC3b host] + CR1 -> [C3bBbC3bCR1 host]                                                     ,[k_p_C3bCR1] * [C3bBbC3b host] * CR1
[C3bBbC3b host] + DAF -> [C3bBbC3bDAF host]                                                     ,[k_p_C3bBbDAF] * [C3bBbC3b host] * DAF
[C3bBbC3b host] + H -> [C3bBbC3bH host]                                                         ,[k_p_C3bH_surf] * [C3bBbC3b host] * H
[C3bBbC3bC5b host] -> C5b + [C3bBbC3b host]                                                     ,[k_m_C5b] * [C3bBbC3bC5b host]
[C3bBbC3bC5bC6 host] + C7 -> [C3bBbC3b host] + [hC5b7 fluid]                                    ,[k_p_C5b7] * [C3bBbC3bC5bC6 host] * C7
[C3bBbC3b host] + C5 -> C5a + [C3bBbC3bC5b host]                                                ,[k_C5_cat_C3bBbC3b] * [C3bBbC3b host] * C5 / ([K_C5_m_C3bBbC3b] + C5)
[C3bBbC3bC5b host] + C6 <-> [C3bBbC3bC5bC6 host]                                                ,[k_p_C3bBbC3bC5bC6] * [C3bBbC3bC5b host] * C6 - [k_m_C3bBbC3bC5bC6] * [C3bBbC3bC5bC6 host]
[hC5b7 fluid] -> [C5b7 micelle]                                                                 ,[k_p_C5b7 micelle] * [hC5b7 fluid]
[hC5b7 fluid] + C8 <-> [C5b8 fluid]                                                             ,[k_p_C5b8] * [hC5b7 fluid] * C8 - [k_m_C5b8] * [C5b8 fluid]
[hC5b7 fluid] + Cn <-> [CnC5b7 fluid]                                                           ,[k_p_CnC5b7] * [hC5b7 fluid] * Cn - [k_m_CnC5b7] * [CnC5b7 fluid]
[hC5b7 fluid] + Vn <-> [VnC5b7 fluid]                                                           ,[k_p_VnC5b7] * [hC5b7 fluid] * Vn - [k_m_VnC5b7] * [VnC5b7 fluid]
[C5b7 host] + C8 -> [C5b8 host]                                                                 ,[k_p_C5b8] * [C5b7 host] * C8
[C5b8 host] + C9 -> [C5b9_1 host]                                                               ,[k_p_C5b9] * [C5b8 host] * C9
[C5b9_1 host] + C9 -> [C5b9_2 host]                                                             ,[k_p_C5b9] * [C5b9_1 host] * C9
[C5b9_2 host] + C9 -> [C5b9_3 host]                                                             ,[k_p_C5b9] * [C5b9_2 host] * C9
[C5b9_3 host] + C9 -> [C5b9_4 host]                                                             ,[k_p_C5b9] * [C5b9_3 host] * C9
[C5b9_4 host] + C9 -> [C5b9_5 host]                                                             ,[k_p_C5b9] * [C5b9_4 host] * C9
[C5b9_5 host] + C9 -> [C5b9_6 host]                                                             ,[k_p_C5b9] * [C5b9_5 host] * C9
[C5b9_6 host] + C9 -> [C5b9_7 host]                                                             ,[k_p_C5b9] * [C5b9_6 host] * C9
[C5b9_7 host] + C9 -> [C5b9_8 host]                                                             ,[k_p_C5b9] * [C5b9_7 host] * C9
[C5b9_8 host] + C9 -> [C5b9_9 host]                                                             ,[k_p_C5b9] * [C5b9_8 host] * C9
[C5b9_9 host] + C9 -> [C5b9_10 host]                                                            ,[k_p_C5b9] * [C5b9_9 host] * C9
[C5b9_10 host] + C9 -> [C5b9_11 host]                                                           ,[k_p_C5b9] * [C5b9_10 host] * C9
[C5b9_11 host] + C9 -> [C5b9_12 host]                                                           ,[k_p_C5b9] * [C5b9_11 host] * C9
[C5b9_12 host] + C9 -> [C5b9_13 host]                                                           ,[k_p_C5b9] * [C5b9_12 host] * C9
[C5b9_13 host] + C9 -> [C5b9_14 host]                                                           ,[k_p_C5b9] * [C5b9_13 host] * C9
[C5b9_14 host] + C9 -> [C5b9_15 host]                                                           ,[k_p_C5b9] * [C5b9_14 host] * C9
[C5b9_15 host] + C9 -> [C5b9_16 host]                                                           ,[k_p_C5b9] * [C5b9_15 host] * C9
[C5b9_16 host] + C9 -> [C5b9_17 host]                                                           ,[k_p_C5b9] * [C5b9_16 host] * C9
[C5b9_17 host] + C9 -> [MAC host]                                                               ,[k_p_C5b9] * [C5b9_17 host] * C9
[C5b9_1 host] + CD59 <-> [CD59C5b9_1 host]                                                      ,[k_p_CD59C5b9] * [C5b9_1 host] * CD59 - [k_m_CD59C5b9] * [CD59C5b9_1 host]
[VnC5b7 fluid] + C8 <-> [VnC5b8 fluid]                                                          ,[k_p_VnC5b8] * [VnC5b7 fluid] * C8 - [k_m_VnC5b8] * [VnC5b8 fluid]
[VnC5b8 fluid] + C9 <-> [VnC5b9_1 fluid]                                                        ,[k_p_VnC5b9] * [VnC5b8 fluid] * C9 - [k_m_VnC5b9] * [VnC5b9_1 fluid]
[CnC5b7 fluid] + C8 <-> [CnC5b8 fluid]                                                          ,[k_p_CnC5b8] * [CnC5b7 fluid] * C8 - [k_m_CnC5b8] * [CnC5b8 fluid]
[CnC5b8 fluid] + C9 <-> [CnC5b9_1 fluid]                                                        ,[k_p_CnC5b9] * [CnC5b8 fluid] * C9 - [k_m_CnC5b9] * [CnC5b9_1 fluid]
[C5b8 fluid] + C9 <-> [C5b9_1 fluid]                                                            ,[k_p_C5b9] * [C5b8 fluid] * C9 - [k_m_C5b9] * [C5b9_1 fluid]
[C3bBbH fluid] -> [C3bBb fluid] + H                                                             ,[k_m_C3bH] *  [C3bBbH fluid]
[C3bBbH host] -> [C3bBb host] + H                                                               ,[k_m_C3bH] * [C3bBbH host]
[C3bBbC3bH host] -> [C3bBbC3b host] + H                                                         ,[k_m_C3bH] * [C3bBbC3bH host]
[C3bBbCR1 fluid] -> CR1 + [C3bBb fluid]                                                         ,[k_m_C3bCR1] *  [C3bBbCR1 fluid]
[C3bBbCR1 host] -> [C3bBb host] + CR1,[k_m_C3bCR1] * [C3bBbCR1 host]
[C3bBbC3bCR1 host] -> [C3bBbC3b host] + CR1,[k_m_C3bCR1] * [C3bBbC3bCR1 host]
[C3bBbDAF host] -> [C3bBb host] + DAF                                                           ,[k_m_C3bBbDAF] * [C3bBbDAF host]
[C3bBbC3bDAF host] -> [C3bBbC3b host] + DAF                                                     ,[k_m_C3bBbDAF] * [C3bBbC3bDAF host]
[C3bBbP host] -> [C3bBb host] + P                                                               ,[k_m_C3bP] * [C3bBbP host]
[C3bBbC3bP host] -> Bb + [C3b host] + [C3b fluid] + P                                           ,[k_m_C3bBbC3bP] * [C3bBbC3bP host]
null -> [Surface host]                                                                          ,k_pr_surface
[Surface host] -> null                                                                          ,[Surface host] * (k_el_erythrocytes + k_hemolysis)
null -> C3,k_pr_C3
null -> C5,k_pr_C5
null -> C6,k_pr_C6
null -> C7,k_pr_C7
null -> C8,k_pr_C8
null -> C9,k_pr_C9
null -> B                                                                                       ,k_pr_B
null -> D                                                                                       ,k_pr_D
null -> P                                                                                       ,k_pr_P
null -> I                                                                                       ,k_pr_I
null -> H                                                                                       ,k_pr_H
null -> Vn                                                                                      ,k_pr_Vn
null -> Cn                                                                                      ,k_pr_Cn
null -> CR1,k_pr_CR1
null -> DAF                                                                                     ,k_pr_DAF
null -> CD59,k_pr_CD59
C3 -> null                                                                                      ,C3 * k_el_C3
C5 -> null                                                                                      ,C5 * k_el_C5
C6 -> null                                                                                      ,C6 * k_el_C6
C7 -> null                                                                                      ,C7 * k_el_C7
C8 -> null                                                                                      ,C8 * k_el_C8
C9 -> null                                                                                      ,C9 * k_el_C9
B -> null                                                                                       ,B  * k_el_B
D -> null                                                                                       ,D  * k_el_D
P -> null                                                                                       ,P  * k_el_P
I -> null                                                                                       ,I  * k_el_I
H -> null                                                                                       ,H  * k_el_H
Vn -> null                                                                                      ,Vn * k_el_Vn
Cn -> null                                                                                      ,Cn * k_el_Cn
CR1 -> null                                                                                     ,CR1  * (k_el_CR1 + k_hemolysis)
CD59 -> null                                                                                    ,CD59 * (k_el_CD59 + k_hemolysis)
DAF -> null                                                                                     ,DAF  * (k_el_DAF + k_hemolysis)
[C3(H2O) fluid] -> null                                                                         ,[C3(H2O) fluid]    * k_el_C3
[C3(H2O)B fluid] -> null                                                                        ,[C3(H2O)B fluid]   * k_el_C3
[C3(H2O)H fluid] -> null                                                                        ,[C3(H2O)H fluid]   * k_el_C3
[C3(H2O)CR1 fluid] -> null                                                                      ,[C3(H2O)CR1 fluid] * (k_el_SurfaceProtein + k_hemolysis)
[C3(H2O)Bb fluid] -> null                                                                       ,[C3(H2O)Bb fluid]  * k_el_C3
[C3(H2O)BbH fluid] -> null                                                                      ,[C3(H2O)BbH fluid] * k_el_C3
[C3b fluid] -> null                                                                             ,[C3b fluid]        * k_el_C3
[C3bB fluid] -> null                                                                            ,[C3bB fluid]       * k_el_C3
[C3bH fluid] -> null                                                                            ,[C3bH fluid]       * k_el_C3
[C3bCR1 fluid] -> null                                                                          ,[C3bCR1 fluid]     * (k_el_SurfaceProtein + k_hemolysis)
[C3bBb fluid] -> null                                                                           ,[C3bBb fluid]      * k_el_C3
[C3bBbH fluid] -> null                                                                          ,[C3bBbH fluid]     * k_el_C3
[C3bBbCR1 fluid] -> null                                                                        ,[C3bBbCR1 fluid]   * (k_el_SurfaceProtein + k_hemolysis)
nfC3b -> null                                                                                   ,nfC3b              * k_el_C3
nhC3b -> null                                                                                   ,nhC3b              * k_el_C3
Ba -> null                                                                                      ,Ba *  k_el_Ba
Bb -> null                                                                                      ,Bb *  k_el_Bb
C3a -> null                                                                                     ,C3a * k_el_C3a
C5a -> null                                                                                     ,C5a * k_el_C5a
[hC5b7 fluid] -> null                                                                           ,[hC5b7 fluid]    * k_el_C5b_species
[iC3b fluid] -> null                                                                            ,[iC3b fluid]     * k_el_iC3b
[iC3bCR1 fluid] -> null                                                                         ,[iC3bCR1 fluid]  * (k_el_SurfaceProtein + k_hemolysis)
[C3dg fluid] -> null                                                                            ,[C3dg fluid]     * k_el_C3dg
[C5b7 micelle] -> null                                                                          ,[C5b7 micelle]   * k_el_C5b_species
[C5b8 fluid] -> null                                                                            ,[C5b8 fluid]     * k_el_C5b_species
[CnC5b7 fluid] -> null                                                                          ,[CnC5b7 fluid]   * k_el_C5b_species
[VnC5b7 fluid] -> null                                                                          ,[VnC5b7 fluid]   * k_el_C5b_species
[VnC5b8 fluid] -> null                                                                          ,[VnC5b8 fluid]   * k_el_C5b_species
[VnC5b9_1 fluid] -> null                                                                        ,[VnC5b9_1 fluid] * k_el_C5b_species
[CnC5b8 fluid] -> null                                                                          ,[CnC5b8 fluid]   * k_el_C5b_species
[CnC5b9_1 fluid] -> null                                                                        ,[CnC5b9_1 fluid] * k_el_C5b_species
[C5b9_1 fluid] -> null                                                                          ,[C5b9_1 fluid]   * k_el_C5b_species
[C3bBb host] -> [Surface host]                                                                  ,[C3bBb host]          * (k_el_SurfaceProtein + k_hemolysis)
[C3bBbC3b host] -> [Surface host]                                                               ,[C3bBbC3b host]       * (k_el_SurfaceProtein + k_hemolysis)
[C3bBbC3bCR1 host] -> [Surface host]                                                            ,[C3bBbC3bCR1 host]    * (k_el_SurfaceProtein + k_hemolysis)
[C3b host] -> [Surface host]                                                                    ,[C3b host]            * (k_el_SurfaceProtein + k_hemolysis)
[C3bBbC3bDAF host] -> [Surface host]                                                            ,[C3bBbC3bDAF host]    * (k_el_SurfaceProtein + k_hemolysis)
[C3bBbC3bH host] -> [Surface host]                                                              ,[C3bBbC3bH host]      * (k_el_SurfaceProtein + k_hemolysis)
[C3bBbP host] -> [Surface host]                                                                 ,[C3bBbP host]         * (k_el_SurfaceProtein + k_hemolysis)
[C3bBbC3bP host] -> [Surface host]                                                              ,[C3bBbC3bP host]      * (k_el_SurfaceProtein + k_hemolysis)
[C3bBP host] -> [Surface host]                                                                  ,[C3bBP host]          * (k_el_SurfaceProtein + k_hemolysis)
[iC3b host] -> [Surface host]                                                                   ,[iC3b host]           * (k_el_SurfaceProtein + k_hemolysis)
[iC3bP host] -> [Surface host]                                                                  ,[iC3bP host]          * (k_el_SurfaceProtein + k_hemolysis)
[C3bBbC3bPC5 host] -> [Surface host]                                                            ,[C3bBbC3bPC5 host]    * (k_el_SurfaceProtein + k_hemolysis)
[C3bBbC3bC5 host] -> [Surface host]                                                             ,[C3bBbC3bC5 host]     * (k_el_SurfaceProtein + k_hemolysis)
[C3bBbC3bPC5b host] -> [Surface host]                                                           ,[C3bBbC3bPC5b host]   * (k_el_SurfaceProtein + k_hemolysis)
[C3bBbC3bC5b host] -> [Surface host]                                                            ,[C3bBbC3bC5b host]    * (k_el_SurfaceProtein + k_hemolysis)
