Time_min,Lysis_Mean_percent,Lysis_Error_percent
0.158730159,0,0
5.257974157,6.261859583,2.75E+00
10.28131683,88.61480076,3.23E+00
20.43823981,88.0455408,3.51E+00
30.43643264,87.47628083,2.94E+00
60.12077949,88.0455408,0.00E+00
120.2837264,89.37381404,0.00E+00
