hFD_ngml,RBC_lysis_Mean_percent,RBC_lysis_Error_percent
0,0.0005976,0
24.83751339,50.96930726,1.01E+01
49.16122867,71.7974614,0
99.17145663,80.45190515,0
199.2411086,73.93627193,0
402.3178863,74.20758235,5.69E+00
