anti_CD59_ugml,E_H_avrge,E_H_std,E_H_rH1920_avrge,E_H_rH1920_std
0,0,0,20.21923964,0
0.5,0.424808836,0,56.55765851,1.46E+01
2.5,16.5675446,4.55E+00,7.48E+01,5.51E+00
5,22.59983008,4.95E+00,7.83E+01,6.38E+00
7.5,22.76975361,4.73E+00,8.20E+01,6.43E+00
