WT_Serum_FD,Lysis_FD,WT_Serum_C3,Lysis_C3
0.050171472,0.368096359,0.050171472,0.368096359
0.502395506,34.66392255,2.514328406,2.056759506
2.555877481,94.2728631,5.017980143,35.21744139
5.088962014,96.3752848,12.66467221,54.76395312
10.13342089,99.62801244,25.26423393,81.98138769
25.55572031,109.0134884,50.82615681,96.16193302
51.37316162,113.032998,100,99.98963629
100,99.98963629,,
