Hemolysis_x,Hemolysis_y,Bb_x,Bb_y,C5a_x,C5a_y
0.015562256,3.265333517,0.015765762,0.083102854,0.015384361,0.081145077
0.030857173,4.795192299,0.031240188,0.116169316,0.031135065,0.085445191
0.060280527,25.26723004,0.061466105,0.506278491,0.05921462,0.151506106
0.123136274,78.06873266,0.118992735,1.71307157,0.121016253,0.19951571
0.251533001,124.5560709,0.233627013,2.209883164,0.236588279,0.204764834
0.506222274,151.0903351,0.4823797,2.419434336,0.495580369,0.20906613
0.97431518,166.0055938,0.913294326,2.497628807,0.969727952,0.20908919
2.020091872,169.3043616,1.947910513,2.571760199,1.930929264,0.207687551
